id,name,type,price,availability,viv_rating,num_viv_ratigns,viv_price
09095,"Gérard Bertrand Clos d'Ora Organic 2017, Minervois La Livinière",Syrah,169.99,1,4.5,1035,187.00
03483,Louis Latour Château Corton Grancey Grand Cru 2013,Pinot Noir,74.99,1,4.2,68,90.99
61249,"Château Certan de May 2007, Pomerol",Merlot,74.25,1,4.3,4408,94.88
61356,"Clos l'Eglise 2004, Pomerol",Merlot,71.25,1,4.3,3921,130.00
61284,"Château Trotte Vieille 2011, Saint-Émilion Grand Cru",Merlot,71.24,1,4.2,345,105.49
61290,"Château Cantenac Brown 2006, Margaux",Cabernet Sauvignon,67.49,1,4.1,342,111.69
61251,"Château Belair 2003, Saint-Émilion Grand Cru",Merlot Cabernet Franc,59.99,1,4.1,629,62.90
61360,Château Cantenac Brown Margaux 2012,Cabernet Sauvignon,56.25,1,4.1,1207,111.69
61328,"Château Lagrange 2014, Saint-Julien",Cabernet Sauvignon,56.25,1,4.1,45,—
61281,"Château Giscours 2011, Margaux",Cabernet Sauvignon,56.24,1,3.9,19,—
61353,"Château Lagrange 2011, Saint-Julien",Cabernet Sauvignon,48.75,1,4.1,45,—
01206,"Château Batailley 2015/16, Pauillac",Cabernet Sauvignon,48.74,1,3.9,253,27.00
63096,Famille Roux Chambolle-Musigny ‘Vieilles Vignes’,Pinot Noir,48.74,1,4.0,1305,—
61365,Cos d’Estournel ‘Les Pagodes de Cos’ Saint-Estèphe 2012,Cabernet Sauvignon,48.74,1,4.1,1190,73.44
61292,"Chateau d’Issan 2013, Margaux",Cabernet Sauvignon,47.24,1,4.0,9218,44.97
61373,"Château Lynch-Moussas 2016, Pauillac",Cabernet Sauvignon,44.99,1,4.1,44,—
61369,"Château La Croix-De-Gay 2012, Pomerol",Merlot,37.50,1,4.1,4509,234.69
61366,"Château La Tour Figeac 2015, Organic Saint-Émilion Grand Cru Classé",Cabernet Sauvignon,37.50,1,4.1,5304,38.00
63039,Rémi Seguin Morey-Saint-Denis 2018/19,Pinot Noir,37.49,1,3.7,106,—
61367,"Château La Fleur Pourret 2016, Saint-Émilion Grand Cru",Merlot,37.49,1,4.0,3276,23.49
06524,E. Guigal 'Brune et Blonde' Côte-Rôtie  2018/19,Syrah,37.49,1,4.2,20961,57.50
61361,"Château Fonplégade 2015, Saint-Émilion Grand Cru",Merlot,35.25,1,4.2,5763,46.50
63050,Maison Alexandre Gauvin Gevrey-Chambertin 2018/19,Pinot Noir,33.74,1,4.1,545,—
61359,"BriO de Cantenac Brown 2015, Margaux",Cabernet Sauvignon,33.74,1,3.9,7595,35.75
61363,"Château Bourgneuf 2011, Pomerol",Merlot,33.74,1,4.0,4971,39.15
61364,"Mondot by Troplong Mondot 2015, Saint-Émilion Grand Cru",Merlot,33.74,1,3.9,1414,375.00
61324,"Château Prieuré-Lichine 'Confidences de Prieuré-Lichine' Margaux, 2011",Merlot,29.99,1,3.8,421,28.10
61375,"Château Le Caillou 2014, Pomerol",Merlot,29.99,1,4.1,2821,41.75
06419,E. Guigal Châteauneuf-du-Pape 2016/17,Grenache,29.99,1,4.1,18636,35.99
01356,La Réserve de Léoville-Barton St-Julien 2017/18,Cabernet Sauvignon,27.74,1,4.1,5435,37.75
63091,"Domaine Bader-Mimeur, Château de Chassagne-Montrachet Rouge 2015",Pinot Noir,26.24,1,4.3,150,—
06122,Jaboulet 'Les Cedres' Organic Châteauneuf-du-Pape 2019/20,Grenache,26.24,1,4.1,4012,33.95
61218,Charmes de Kirwan 2015/16,Cabernet Sauvignon,26.24,1,4.0,6355,37.83
61216,"Château la Garde 2012/13, Pessac-Léognan",Cabernet Sauvignon,24.74,1,3.9,8886,30.00
61314,"Château Tour Massac 2013, Margaux",Cabernet Sauvignon,24.74,1,4.1,826,29.99
06610,"Cornas 'Les Grandes Terrasses' 2014/16 Paul Jaboulet Aîné, Rhône Valley",Syrah,23.99,1,4.0,1902,110.00
61325,Château Moulinet 'Clos Sainte Anne' Pomerol 2015,Merlot,22.49,1,,,—
61329,Parcel Series Pauillac 2019,Cabernet Sauvignon,22.49,1,,,—
63056,"Girardin Père et Fils Santenay 'Vieilles Vignes' Rouge 2018/19, Burgundy",Pinot Noir,21.74,1,4.0,117,—
63033,"Louis Latour Marsannay Rouge 2019/20, Burgundy",Pinot Noir,20.99,1,3.8,4412,28.99
63053,"Côtes de Beaune Villages 2018/20 Bouchard Aîné et Fils, Burgundy",Pinot Noir,20.99,1,3.8,3050,—
61229,Definition Margaux 2018/19,Cabernet Sauvignon Merlot,20.99,1,4.1,51,—
61228,Definition Pauillac 2017/18,Cabernet Sauvignon,20.99,1,4.1,92,—
63064,Doudet Naudin Givry 2017/19,Pinot Noir,19.99,1,4.0,132,—
